Nombre,Tipo,L,a,b,Opacidad
Buff Titanium,Acuarela,88,0.67,25.54,0.4
Nickel Titanate Yellow,Acuarela,94,-7.25,38.58,0.65
Bismuth Vanadate Yellow,Acuarela,92,-7.5,76.14,0.9
Hansa Yellow Light,Acuarela,92,-11.78,88.13,0.4
Azo Yellow,Acuarela,91,-3.05,80.31,0.4
Quinophthalone Yellow,Acuarela,90,-4.1,86.5,0.4
Cadmium Yellow Light Hue,Acuarela,92,-8.29,89.0,0.65
Cadmium Yellow Medium Hue,Acuarela,88,5.93,82.45,0.65
Aureolin (Cobalt Yellow),Acuarela,89,-3.62,83.24,0.15
Cadmium Yellow Deep Hue,Acuarela,81,25.2,86.2,0.65
Hansa Yellow Medium,Acuarela,88,3.19,99.59,0.4
Mayan Yellow,Acuarela,88,2.12,79.63,0.15
Lemon Yellow,Acuarela,92,-8.37,83.01,0.15
Indian Yellow,Acuarela,84,8.33,86.92,0.15
Naples Yellow,Acuarela,84,7.61,45.61,0.4
Hansa Yellow Deep,Acuarela,81,23.71,79.48,0.4
New Gamboge,Acuarela,85,11.61,77.33,0.15
Isoindoline Yellow,Acuarela,75,38.66,77.08,0.4
Permanent Yellow Deep,Acuarela,78,30.62,73.9,0.15
Aussie Red Gold,Acuarela,67,40.0,69.21,0.15
Pyrrol Orange,Acuarela,64,58.7,60.7,0.4
Permanent Orange,Acuarela,71,45.24,64.69,0.15
Cadmium Orange Hue,Acuarela,66,52.4,66.4,0.65
Perinone Orange,Acuarela,64,55.53,58.28,0.4
Cadmium Red Scarlet Hue,Acuarela,57,54.4,43.8,0.65
Transparent Pyrrol Orange,Acuarela,53,54.13,43.74,0.15
Organic Vermilion,Acuarela,54,63.47,52.17,0.4
Mayan Orange,Acuarela,59,54.33,37.4,0.4
Quinacridone Coral,Acuarela,62,59.07,17.53,0.15
Pyrrol Scarlet,Acuarela,52,61.49,45.06,0.4
Perylene Scarlet,Acuarela,48,55.43,35.93,0.4
Anthraquinoid Scarlet,Acuarela,60,55.6,36.5,0.15
Cadmium Red Medium Hue,Acuarela,51,57.77,39.19,0.65
Pyrrol Red,Acuarela,47,57.57,35.19,0.4
Perylene Red,Acuarela,46,53.8,26.76,0.4
Permanent Red,Acuarela,47,59.57,35.31,0.4
Permanent Red Deep,Acuarela,44,58.67,29.77,0.4
Quinacridone Red,Acuarela,48,58.8,16.97,0.15
Anthraquinoid Red,Acuarela,46,51.8,19.65,0.15
Mayan Red,Acuarela,59,54.16,9.12,0.15
Alizarin Crimson,Acuarela,47,53.51,16.75,0.15
Permanent Alizarin Crimson,Acuarela,44,53.92,25.55,0.15
Rhodonite Genuine,Acuarela,69,38.62,-7.26,0.15
Carmine,Acuarela,45,53.62,22.01,0.4
Rose Madder Permanent,Acuarela,63,48.41,-1.69,0.15
Opera Pink,Acuarela,73,50.75,-18.12,0.15
Potter's Pink,Acuarela,80,14.27,4.77,0.4
Quinacridone Pink,Acuarela,55,61.09,-1.85,0.15
Quinacridone Rose,Acuarela,61,51.22,-2.88,0.15
Quinacridone Lilac,Acuarela,48,51.89,-5.21,0.15
Quinacridone Magenta,Acuarela,47,49.56,-5.27,0.15
Pyrrol Crimson,Acuarela,43,46.96,19.78,0.4
Quinacridone Fuchsia,Acuarela,44,49.43,8.34,0.15
Mayan Violet,Acuarela,53,36.11,-14.7,0.15
Bordeaux,Acuarela,38,41.42,8.51,0.4
Permanent Violet,Acuarela,34,33.49,-2.97,0.4
Quinacridone Violet,Acuarela,37,43.34,2.17,0.15
Perylene Violet,Acuarela,38,26.59,2.98,0.15
Cobalt Violet,Acuarela,86,13.73,-3.97,0.15
Cobalt Violet Deep,Acuarela,70,13.96,-19.41,0.15
Wisteria,Acuarela,72,27.14,-21.47,0.4
Ultramarine Red,Acuarela,76,23.25,-11.93,0.15
Rose of Ultramarine,Acuarela,38,31.59,-20.33,0.15
Quinacridone Purple,Acuarela,40,33.99,-22.1,0.15
Imperial Purple,Acuarela,49,21.4,-34.52,0.4
Purpurite Genuine,Acuarela,62,11.69,-1.09,0.4
Ultramarine Violet,Acuarela,73,14.35,-20.69,0.15
Amethyst Genuine,Acuarela,43,16.0,-23.1,0.4
Carbazole Violet,Acuarela,38,24.54,-31.99,0.4
Cobalt Blue Violet,Acuarela,52,19.2,-40.69,0.4
Moonglow,Acuarela,48,7.81,-6.02,0.15
Shadow Violet,Acuarela,54,8.58,-0.72,0.15
Sugilite Genuine,Acuarela,72,7.19,-8.51,0.15
Kyanite Genuine,Acuarela,64,-6.96,-15.89,0.15
Indigo,Acuarela,27,5.49,-10.61,0.15
Mayan Dark Blue,Acuarela,37,-5.72,-19.31,0.4
Indanthrone Blue,Acuarela,28,13.2,-29.47,0.15
Sodalite Genuine,Acuarela,57,-2.97,-8.97,0.4
Lapis Lazuli Genuine,Acuarela,80,-4.69,-12.8,0.15
French Ultramarine,Acuarela,51,8.65,-58.12,0.15
Ultramarine Blue,Acuarela,51,6.71,-56.28,0.15
Cobalt Blue,Acuarela,66,-8.31,-39.09,0.4
Phthalo Blue (Green Shade),Acuarela,50,-22.47,-38.36,0.15
Lavender,Acuarela,79,0.29,-23.11,0.4
King's Royal Blue,Acuarela,77,-4.9,-26.2,0.5
Verditer Blue,Acuarela,62,-12.1,-38.32,0.4
Phthalo Blue (Red Shade),Acuarela,40,-3.72,-41.15,0.15
Prussian Blue,Acuarela,38,-5.18,-32.22,0.15
Mayan Blue Genuine,Acuarela,59,-17.87,-14.57,0.15
Cerulean Blue,Acuarela,78,-13.18,-18.06,0.4
Cerulean Blue Chromium,Acuarela,58,-24.17,-29.0,0.4
Manganese Blue Hue,Acuarela,81,-21.33,-18.74,0.15
Cobalt Teal Blue,Acuarela,82,-30.17,-6.71,0.4
Phthalo Turquoise,Acuarela,52,-45.92,-10.39,0.15
Kingman Green Turquoise Genuine,Acuarela,83,-17.58,5.35,0.15
Ultramarine Turquoise,Acuarela,50,-47.12,-5.41,0.15
Sleeping Beauty Turquoise Genuine,Acuarela,77,-24.32,-6.9,0.4
