CHROMA|COLOR|L|a|b
1|Buff Titanium|88|0.67|25.54
2|Nickel Titanate Yellow|94|-7.25|38.58
3|Bismuth Vanadate Yellow|92|-7.5|76.14
4|Hansa Yellow Light|92|-11.78|88.13
5|Azo Yellow|91|-3.05|80.31
6|Quinophthalone Yellow|90|-4.1|86.5
7|Cadmium Yellow Light Hue|92|-8.29|89
8|Cadmium Yellow Medium Hue|88|5.93|82.45
9|Aureolin (Cobalt Yellow)|89|-3.62|83.24
10|Cadmium Yellow Deep Hue|81|25.2|86.2
11|Hansa Yellow Medium|88|3.19|99.59
12|Mayan Yellow|88|2.12|79.63
13|Lemon Yellow|92|-8.37|83.01
14|Indian Yellow|84|8.33|86.92
15|Naples Yellow|84|7.61|45.61
16|Hansa Yellow Deep|81|23.71|79.48
17|New Gamboge|85|11.61|77.33
18|Isoindoline Yellow|75|38.66|77.08
19|Permanent Yellow Deep|78|30.62|73.9
20|Aussie Red Gold|67|40|69.21
21|Pyrrol Orange|64|58.7|60.7
22|Permanent Orange|71|45.24|64.69
23|Cadmium Orange Hue|66|52.4|66.4
24|Perinone Orange|64|55.53|58.28
25|Cadmium Red Scarlet Hue|57|54.4|43.8
26|Transparent Pyrrol Orange|53|54.13|43.74
27|Organic Vermilion|54|63.47|52.17
28|Mayan Orange|59|54.33|37.4
29|Quinacridone Coral|62|59.07|17.53
30|Pyrrol Scarlet|52|61.49|45.06
31|Perylene Scarlet|48|55.43|35.93
32|Anthraquinoid Scarlet|60|55.6|36.5
33|Cadmium Red Medium Hue|51|57.77|39.19
34|Pyrrol Red|47|57.57|35.19
35|Perylene Red|46|53.8|26.76
36|Permanent Red|47|59.57|35.31
37|Permanent Red Deep|44|58.67|29.77
38|Quinacridone Red|48|58.8|16.97
39|Anthraquinoid Red|46|51.8|19.65
40|Mayan Red|59|54.16|9.12
41|Alizarin Crimson|47|53.51|16.75
42|Permanent Alizarin Crimson|44|53.92|25.55
43|Rhodonite Genuine|69|38.62|-7.26
44|Carmine|45|53.62|22.01
45|Rose Madder Permanent|63|48.41|-1.69
46|Opera Pink|73|50.75|-18.12
48|Potter's Pink|80|14.27|4.77
49|Quinacridone Pink|55|61.09|-1.85
50|Quinacridone Rose|61|51.22|-2.88
51|Quinacridone Lilac|48|51.89|-5.21
52|Quinacridone Magenta|47|49.56|-5.27
53|Pyrrol Crimson|43|46.96|19.78
54|Quinacridone Fuchsia|44|49.43|8.34
55|Mayan Violet|53|36.11|-14.7
56|Bordeaux|38|41.42|8.51
57|Permanent Violet|34|33.49|-2.97
58|Quinacridone Violet|37|43.34|2.17
59|Perylene Violet|38|26.59|2.98
60|Cobalt Violet|86|13.73|-3.97
