COLOR|Transparency
Alizarin Crimson|Transparent
Alvaro's Caliente Grey|Semi-Transparent
Alvaro's Fresco Grey|Semi-Transparent
Amazonite Genuine|Transparent
Amethyst Genuine|Semi-Transparent
Anthraquinoid Red|Transparent
Anthraquinoid Scarlet|Transparent
Aureolin (Cobalt Yellow)|Transparent
Aussie Red Gold|Transparent
Azo Yellow|Semi-Transparent
Bismuth Vanadate Yellow|Opaque
Black Tourmaline Genuine|Transparent
Bloodstone Genuine|Transparent
Blue Apatite Genuine|Transparent
Bordeaux|Semi-Transparent
Bronzite Genuine|Transparent
Buff Titanium|Semi-Transparent
Burgundy Red Ochre|Transparent
Burgundy Yellow Ochre|Transparent
Burnt Bronzite Genuine|Transparent
Burnt Sienna|Semi-Transparent
Burnt Sienna Light|Transparent
Burnt Tiger's Eye Genuine|Transparent
Burnt Umber|Semi-Transparent
Burnt Yellow Ochre|Transparent
Cadmium Orange Hue|Semi-Opaque
Cadmium Red Medium Hue|Semi-Opaque
Cadmium Red Scarlet Hue|Semi-Opaque
Cadmium Yellow Deep Hue|Semi-Opaque
Cadmium Yellow Light Hue|Semi-Opaque
Cadmium Yellow Medium Hue|Semi-Opaque
Carbazole Violet|Semi-Transparent
Carmine|Semi-Transparent
Cascade Green|Semi-Transparent
Cerulean Blue|Semi-Transparent
Cerulean Blue Chromium|Semi-Transparent
Chinese White|Semi-Transparent
Chromium Green Oxide|Opaque
Cobalt Blue|Semi-Transparent
Cobalt Blue Violet|Semi-Transparent
Cobalt Green|Semi-Transparent
Cobalt Green Pale|Transparent
Cobalt Teal Blue|Semi-Transparent
Cobalt Turquoise|Semi-Transparent
Cobalt Violet|Transparent
Cobalt Violet Deep|Transparent
Deep Sap Green|Transparent
Deep Scarlet|Semi-Transparent
Diopside Genuine|Transparent
English Red Earth|Opaque
English Red Ochre|Transparent
Enviro-Friendly Brown Iron Oxide|Semi-Transparent
Enviro-Friendly Red Iron Oxide|Semi-Transparent
Enviro-Friendly Yellow Iron Oxide|Semi-Transparent
Fired Gold Ochre|Transparent
French Ochre|Transparent
French Ultramarine|Transparent
Fuchsite Genuine|Transparent
Garnet Genuine|Transparent
German Greenish Raw Umber|Semi-Transparent
Goethite (Brown Ochre)|Semi-Transparent
Graphite Gray|Opaque
Gray Titanium|Semi-Transparent
Green Apatite Genuine|Semi-Transparent
Green Gold|Transparent
Hansa Yellow Deep|Semi-Transparent
Hansa Yellow Light|Semi-Transparent
Hansa Yellow Medium|Semi-Transparent
Hematite Burnt Scarlet Genuine|Semi-Transparent
Hematite Genuine|Semi-Transparent
Hematite Violet Genuine|Semi-Transparent
Hooker's Green|Semi-Transparent
Imperial Purple|Semi-Transparent
Indanthrone Blue|Transparent
Indian Red|Opaque
Indian Yellow|Transparent
Indigo|Transparent
Isoindoline Yellow|Semi-Transparent
Italian Burnt Sienna|Semi-Transparent
Italian Deep Ochre|Transparent
Italian Venetian Red|Semi-Transparent
Ivory Black|Semi-Transparent
Jadeite Genuine|Semi-Transparent
Jane's Grey|Semi-Transparent
Joseph Z's Cool Grey|Semi-Transparent
Joseph Z's Neutral Grey|Semi-Transparent
Joseph Z's Warm Grey|Semi-Transparent
Kingman Green Turquoise Genuine|Transparent
Kyanite Genuine|Transparent
Lamp Black|Opaque
Lapis Lazuli Genuine|Transparent
Lavender|Semi-Transparent
Lemon Yellow|Transparent
Lunar Black|Transparent
Lunar Blue|Semi-Transparent
Lunar Earth|Transparent
Lunar Red Rock|Semi-Transparent
Lunar Violet|Semi-Transparent
Manganese Blue Hue|Transparent
Mars Yellow|Semi-Transparent
Mayan Blue Genuine|Transparent
Mayan Dark Blue|Semi-Transparent
Mayan Orange|Semi-Transparent
Mayan Red|Transparent
Mayan Violet|Transparent
Mayan Yellow|Transparent
Minnesota Pipestone Genuine|Semi-Transparent
Monte Amiata Natural Sienna|Transparent
Moonglow|Transparent
Mummy Bauxite|Semi-Transparent
Naphthamide Maroon|Semi-Transparent
Naples Yellow|Semi-Transparent
Neutral Tint|Semi-Transparent
New Gamboge|Transparent
Nickel Azo Yellow|Transparent
Nickel Titanate Yellow|Semi-Opaque
Olive Green|Semi-Transparent
Opera Pink|Transparent
Organic Vermilion|Semi-Transparent
Payne's Blue Gray|Semi-Transparent
Payne's Gray|Semi-Transparent
Perinone Orange|Semi-Transparent
Permanent Alizarin Crimson|Transparent
Permanent Brown|Transparent
Permanent Green|Transparent
Permanent Green Light|Semi-Transparent
Permanent Orange|Transparent
Permanent Red|Semi-Transparent
Permanent Red Deep|Semi-Transparent
Permanent Violet|Semi-Transparent
Permanent Yellow Deep|Transparent
Perylene Green|Semi-Transparent
Perylene Maroon|Semi-Transparent
Perylene Red|Semi-Transparent
Perylene Scarlet|Semi-Transparent
Perylene Violet|Transparent
Phthalo Blue (Green Shade)|Transparent
Phthalo Blue (Red Shade)|Transparent
Phthalo Blue Turquoise|Transparent
Phthalo Green (Blue Shade)|Transparent
Phthalo Green (Yellow Shade)|Transparent
Phthalo Turquoise|Transparent
Phthalo Yellow Green|Transparent
Piemontite Genuine|Semi-Transparent
Pompeii Red|Semi-Transparent
Potter's Pink|Semi-Transparent
Prussian Blue|Transparent
Prussian Green|Semi-Transparent
Purpurite Genuine|Semi-Transparent
Pyrrol Crimson|Semi-Transparent
Pyrrol Orange|Semi-Transparent
Pyrrol Red|Semi-Transparent
Pyrrol Scarlet|Semi-Transparent
Quinacridone Burnt Orange|Transparent
Quinacridone Burnt Scarlet|Transparent
Quinacridone Coral|Transparent
Quinacridone Deep Gold|Transparent
Quinacridone Fuchsia|Transparent
Quinacridone Gold|Transparent
Quinacridone Lilac|Transparent
Quinacridone Magenta|Transparent
Quinacridone Pink|Transparent
Quinacridone Purple|Transparent
Quinacridone Red|Transparent
Quinacridone Rose|Transparent
Quinacridone Sienna|Transparent
Quinacridone Violet|Transparent
Quinophthalone Yellow|Semi-Transparent
Rare Green Earth|Transparent
Raw Sienna|Semi-Transparent
Raw Sienna Light|Semi-Transparent
Raw Umber|Semi-Transparent
Raw Umber Violet|Semi-Transparent
Red Fuchsite Genuine|Transparent
Red Jasper Genuine|Semi-Transparent
Rhodonite Genuine|Transparent
Rich Green Gold|Semi-Transparent
Roasted French Ochre|Transparent
Rose Madder Permanent|Transparent
Rose of Ultramarine|Transparent
Sap Green|Transparent
Sedona Genuine|Semi-Transparent
Sepia|Semi-Transparent
Serpentine Genuine|Semi-Transparent
Shadow Violet|Transparent
Sicklerite Genuine|Transparent
Sleeping Beauty Turquoise Genuine|Semi-Transparent
Sodalite Genuine|Semi-Transparent
Spring Green|Semi-Transparent
Sugilite Genuine|Transparent
Terre Ercolano|Semi-Transparent
Terre Verte|Transparent
Tiger's Eye Genuine|Transparent
Titanium White|Semi-Transparent
Transparent Brown Oxide|Transparent
Transparent Pyrrol Orange|Transparent
Transparent Red Oxide|Transparent
Transparent Yellow Oxide|Transparent
Ultramarine Blue|Transparent
Ultramarine Red|Transparent
Ultramarine Turquoise|Transparent
Ultramarine Violet|Transparent
Undersea Green|Semi-Transparent
Van Dyck Brown|Semi-Transparent
Venetian Red|Opaque
Verditer Blue|Semi-Transparent
Verona Gold Ochre|Transparent
Viridian|Transparent
Wisteria|Semi-Transparent
Yavapai Genuine|Transparent
Yellow Ochre|Transparent
Zoisite Genuine|Semi-Transparent
