Nombre,Codigo_Pigmento,Tipo,L,a,b,Opacidad
Titanium White,PW6,Acrilico,96.15,-0.83,1.73,0.95
Cadmium Yellow Light,PY35,Acrilico,80.62,22.41,72.11,0.90
Cadmium Yellow Medium,PY35,Acrilico,73.94,30.96,63.55,0.92
Cadmium Yellow Deep,PY35/PR108,Acrilico,62.43,39.87,52.34,0.88
Yellow Ochre,PY43,Acrilico,53.48,16.19,33.12,0.75
Cadmium Orange,PO20,Acrilico,58.92,45.23,50.67,0.89
Cadmium Red Light,PR108,Acrilico,48.34,48.92,35.11,0.87
Cadmium Red Medium,PR108,Acrilico,45.72,50.82,33.21,0.85
Cadmium Red Deep,PR108,Acrilico,40.15,46.78,28.34,0.83
Alizarin Crimson,PR83,Acrilico,29.56,31.22,-6.78,0.70
Ultramarine Blue,PB29,Acrilico,24.83,7.74,-42.06,0.88
Cobalt Blue,PB28,Acrilico,34.45,19.56,-43.21,0.85
Cerulean Blue,PB35,Acrilico,43.21,7.83,-35.67,0.80
Phthalo Blue GS,PB15:3,Acrilico,31.34,9.45,-45.78,0.92
Phthalo Green YS,PG36,Acrilico,42.45,-31.23,20.45,0.90
Viridian,PG18,Acrilico,39.78,-28.45,8.34,0.72
Yellow Green,PY3/PG7,Acrilico,61.23,-25.67,41.23,0.85
Burnt Sienna,PR101,Acrilico,40.21,22.87,20.66,0.90
Burnt Umber,PBr7,Acrilico,25.67,9.34,12.45,0.92
Raw Sienna,PY42,Acrilico,51.23,18.45,30.45,0.78
Raw Umber,PBr7,Acrilico,30.45,8.34,16.78,0.88
Payne's Grey,PB29/PBk9,Acrilico,23.45,2.34,-8.45,0.85
Ivory Black,PBk9,Acrilico,14.45,1.23,-2.34,0.90
Mars Black,PBk11,Acrilico,12.34,0.78,-1.23,0.92
