Nombre,Codigo_Pigmento,Tipo,L,a,b,Opacidad
Helio Yellow,PY3,Acuarela,82.45,14.56,65.34,0.78
Helio Yellow Medium,PY97,Acuarela,76.34,20.45,58.12,0.80
Cadmium Yellow Light,PY35,Acuarela,72.34,28.45,52.34,0.85
Cadmium Yellow Medium,PY35,Acuarela,66.45,35.12,45.67,0.87
Cadmium Orange,PO20,Acuarela,58.34,40.12,42.34,0.84
Helio Red,PR254,Acuarela,44.56,46.34,26.45,0.82
Cadmium Red Medium,PR108,Acuarela,40.45,44.12,23.45,0.86
Permanent Carmine,PR176,Acuarela,32.34,34.56,-4.56,0.74
Ultramarine Finest,PB29,Acuarela,22.34,5.67,-38.45,0.86
Cobalt Blue Light,PB28,Acuarela,31.45,17.34,-40.12,0.83
Phthalo Blue,PB15,Acuarela,28.45,7.34,-42.34,0.88
Phthalo Green,PG7,Acuarela,38.34,-33.45,16.78,0.84
Winsor Green,PG36,Acuarela,40.12,-28.34,20.45,0.82
Yellow Ochre,PY43,Acuarela,50.34,14.56,29.45,0.70
Burnt Sienna,PR101,Acuarela,36.45,20.12,18.34,0.86
Burnt Umber,PBr7,Acuarela,22.45,7.34,10.12,0.89
Ivory Black,PBk9,Acuarela,12.34,0.45,-1.12,0.85
