Nombre,Codigo_Pigmento,Tipo,L,a,b,Opacidad
Winsor Lemon,PY3,Acuarela,85.23,12.45,67.89,0.80
Winsor Yellow,PY154,Acuarela,78.56,18.34,59.21,0.82
Cadmium Yellow Pale,PY35,Acuarela,74.12,25.67,55.34,0.85
Cadmium Yellow,PY35,Acuarela,68.45,32.12,48.56,0.88
Cadmium Orange,PO20,Acuarela,60.23,42.34,45.67,0.86
Winsor Red,PR254,Acuarela,45.67,48.23,28.45,0.84
Cadmium Red,PR108,Acuarela,42.34,45.67,25.34,0.87
Alizarin Crimson,PR83,Acuarela,28.45,30.12,-5.67,0.72
Winsor Violet,PV23,Acuarela,32.45,24.56,-18.34,0.78
Ultramarine,PB29,Acuarela,23.45,6.78,-40.12,0.85
Cerulean Blue,PB35,Acuarela,40.12,7.23,-33.45,0.78
Cobalt Blue,PB28,Acuarela,32.34,18.45,-41.23,0.82
Winsor Blue Green Shade,PB15,Acuarela,30.12,8.45,-44.56,0.88
Winsor Blue Red Shade,PB15,Acuarela,28.45,14.34,-39.67,0.86
Winsor Green Blue Shade,PG7,Acuarela,40.56,-35.12,18.34,0.85
Winsor Green Yellow Shade,PG36,Acuarela,42.34,-30.45,22.45,0.83
Viridian,PG18,Acuarela,38.45,-26.78,7.34,0.70
Yellow Ochre,PY43,Acuarela,52.34,15.67,31.23,0.72
Raw Sienna,PY42,Acuarela,50.12,17.34,28.45,0.75
Burnt Sienna,PR101,Acuarela,38.45,21.34,19.45,0.88
Burnt Umber,PBr7,Acuarela,24.34,8.45,11.23,0.90
Payne's Gray,PB29/PBk9,Acuarela,22.34,1.45,-7.34,0.82
Ivory Black,PBk9,Acuarela,13.45,0.56,-1.23,0.88
