Nombre,Codigo_Pigmento,Tipo,L,a,b,Opacidad
Titanium White,PW6,Oleo,95.34,-0.78,1.56,0.95
Cadmium Yellow Light,PY35,Oleo,78.34,24.56,62.34,0.90
Cadmium Yellow Medium,PY35,Oleo,72.34,31.45,55.34,0.92
Cadmium Orange,PO20,Oleo,57.34,43.12,48.34,0.88
Cadmium Red Light,PR108,Oleo,47.34,47.12,33.12,0.87
Cadmium Red Medium,PR108,Oleo,44.12,49.34,31.12,0.85
Alizarin Crimson,PR83,Oleo,28.12,30.12,-5.12,0.70
Ultramarine,PB29,Oleo,23.12,6.78,-39.12,0.88
Cobalt Blue,PB28,Oleo,33.12,18.12,-42.12,0.85
Cerulean Blue,PB35,Oleo,42.12,6.78,-34.12,0.80
Phthalo Blue,PB15,Oleo,30.12,8.12,-43.12,0.90
Viridian,PG18,Oleo,38.12,-27.12,7.12,0.72
Yellow Ochre,PY43,Oleo,51.12,15.12,31.12,0.75
Burnt Sienna,PR101,Oleo,38.12,21.12,19.12,0.90
Burnt Umber,PBr7,Oleo,23.12,8.12,11.12,0.92
Raw Sienna,PY42,Oleo,49.12,17.12,28.12,0.78
Ivory Black,PBk9,Oleo,13.12,1.12,-1.12,0.90
